J06_No_Irrad,State ,WB_Arm1,WB_Arm2,Wet weight,Dry_wheigth,Time fly (s),Intensity(dB)Edit,Wing Lw (mm),Wing Ll (mm),Wing Rw (mm),Wing Rl (mm)
Female,Copulate,184,384,0.0357,0.0124,4.04,49.9,2.029,5.285,2.21,5.333
Female,Copulate,206,562,0.0306,0.0098,1.138,54.5,1.904,4.69,2.026,4.75
Female,Copulate,237,459,0.0423,0.0133,39.678,69.6,2.025,4.914,2.108,4.95
Female,Copulate,213,433,0.0419,0.014,18.396,50.1,2.025,4.95,1.995,5.033
Female,Copulate,211,429,0.0515,0.0175,19.482,50.4,2.085,5.07,2.137,5.165
Female,Copulate,236,375,0.0446,0.0147,2.392,62.2,2.017,4.96,2.063,4.972
Female,Copulate,246,502,0.0284,0.0101,4.133,66.5,1.751,,1.772,
Female,Copulate,220,418,0.0382,0.0112,6.629,61.8,1.972,4.645,1.902,4.69
Female,Copulate,253,498,0.0472,0.0184,85.299,51,2.078,4.824,2.087,
Female,Copulate,246,514,0.034,0.0097,2.194,54.8,1.695,4.373,1.666,
Female,Copulate,243,420,0.0256,0.0101,6.327,66.5,,,1.732,4.185
Female,Copulate,208,416,0.0412,0.0118,40.754,61.7,1.98,4.891,2.025,4.927
Female,Copulate,212,429,0.0465,0.0176,24.857,53.7,2.079,4.817,2.055,
Female,Copulate,237,479,0.0385,0.0135,127.141,52.2,2.064,4.586,1.942,4.631
Female,Copulate,215,423,0.0465,0.0183,10.495,52.6,2.081,4.985,1.987,4.995
Female,Copulate,236,429,0.0471,0.0157,1.393,58.4,2.14,4.905,2.123,4.998
Female,Copulate,227,457,0.0416,0.0142,16.858,50.7,2.024,4.661,1.993,4.644
Female,Copulate,222,445,0.0435,0.0159,1.683,50.3,1.991,4.68,1.951,4.764
Female,Copulate,234,467,0.0378,0.013,15.134,54.6,1.861,,1.848,4.615
Female,Copulate,239,482,0.0344,0.0119,4.342,51.1,1.928,,1.936,
Female,Copulate,235,475,0.0448,0.0167,23.185,53.7,1.77,,1.823,4.778
Female,Copulate,213,420,0.0527,0.0247,2.183,54.3,2.079,4.981,2.041,5.018
Female,Copulate,237,476,0.029,0.0082,10.374,56.5,,,1.666,
Female,Copulate,229,455,0.0444,0.021,55.993,48.6,1.838,4.696,1.988,4.721
Female,Copulate,226,450,0.0335,0.012,15.9,53,2.017,,1.943,4.591
Female,Copulate,227,457,0.0373,0.0131,55.391,51.7,1.886,,1.805,
Female,Copulate,236,377,0.0479,0.0196,4.075,62.4,1.972,4.875,2.04,4.822
