group,gender,WB_Arm1,WB_Arm2
WildType_Yaviza,Male,236,477
WildType_Yaviza,Male,199,411
WildType_Yaviza,Male,214,452
WildType_Yaviza,Male,241,496
WildType_Yaviza,Male,262,536
WildType_Yaviza,Male,240,490
WildType_Yaviza,Male,236,473
WildType_Yaviza,Male,211,429
WildType_Yaviza,Male,245,502
WildType_Yaviza,Male,238,472
WildType_Yaviza,Male,220,447
WildType_Yaviza,Male,242,495
WildType_Yaviza,Male,222,452
WildType_Yaviza,Male,236,467
WildType_Yaviza,Female,170,348
WildType_Yaviza,Female,228,457
WildType_Yaviza,Female,231,466
WildType_Yaviza,Female,219,435
WildType_Yaviza,Female,194,393
WildType_Yaviza,Female,234,476
WildType_Yaviza,Female,172,347
WildType_Yaviza,Female,196,405
WildType_Yaviza,Female,220,450
WildType_Yaviza,Female,237,478
WildType_Yaviza,Female,226,445
WildType_Yaviza,Female,209,431
WildType_Yaviza,Female,197,414
WildType_Yaviza,Female,216,421
WildType_Yaviza,Female,211,414
WildType_Yaviza,Female,214,431
WildType_Yaviza,Female,242,487
WildType_Yaviza,Female,254,509
WildType_Yaviza,Female,225,460
WildType_Yaviza,Female,246,493
WildType_Yaviza,Female,222,447
WildType_Yaviza,Female,243,497
WildType_Yaviza,Female,283,425
WildType_Yaviza,Female,237,491
WildType_Yaviza,Female,212,427
WildType_Yaviza,Female,195,408
WildType_Yaviza,Female,248,505
WildType_Yaviza,Female,226,451
WildType_Yaviza,Female,243,500
WildType_Yaviza,Female,226,496
WildType_Yaviza,Female,198,405
WildType_Yaviza,Female,236,468
WildType_Yaviza,Female,188,370
WildType_Yaviza,Female,194,390
WildType_Yaviza,Female,212,427
WildType_Yaviza,Female,242,454
WildType_Yaviza,Female,230,466
WildType_Yaviza,Female,212,455
WildType_Yaviza,Female,240,508
WildType_Yaviza,Female,203,412
WildType_Yaviza,Female,230,463
WildType_Yaviza,Female,242,488
WildType_Yaviza,Female,238,486
WildType_Yaviza,Female,219,454
WildType_Yaviza,Female,231,457
WildType_Yaviza,Female,214,425
WildType_Yaviza,Female,239,509
WildType_Yaviza,Female,209,432
WildType_Yaviza,Female,237,493
WildType_Yaviza,Female,248,528
WildType_Yaviza,Female,236,475
WildType_Yaviza,Female,232,462
WildType_Yaviza,Female,184,366
WildType_Yaviza,Female,225,450
WildType_Yaviza,Female,232,462
WildType_Yaviza,Female,202,417
WildType_Yaviza,Female,200,425
WildType_Yaviza,Female,190,379
WildType_Yaviza,Female,193,389
WildType_Yaviza,Female,196,409
WildType_Yaviza,Female,223,451
WildType_Yaviza,Female,225,452
WildType_Yaviza,Female,222,460
WildType_Yaviza,Female,230,455
WildType_Yaviza,Female,199,406
WildType_Yaviza,Female,240,490
WildType_Yaviza,Female,238,489
WildType_Yaviza,Female,215,420
WildType_Yaviza,Female,245,503
WildType_Yaviza,Female,254,509
WildType_Yaviza,Female,243,494
WildType_Yaviza,Female,239,477
WildType_Yaviza,Female,239,485
WildType_Yaviza,Female,245,496
WildType_Yaviza,Female,242,491
WildType_Yaviza,Female,216,439
WildType_Yaviza,Female,213,395
WildType_Yaviza,Female,183,366
WildType_Yaviza,Female,216,439
WildType_Yaviza,Female,259,528
WildType_Yaviza,Female,231,473
WildType_Yaviza,Female,250,508
WildType_Yaviza,Female,225,447
WildType_Yaviza,Female,256,513
WildType_Yaviza,Female,235,473
WildType_Yaviza,Female,255,527
WildType_Yaviza,Female,195,391
WildType_Yaviza,Female,231,483
WildType_Yaviza,Female,250,509
WildType_Yaviza,Female,263,527
WildType_Yaviza,Female,235,466
WildType_Yaviza,Female,231,497
WildType_Yaviza,Female,210,427
WildType_Yaviza,Female,199,409
WildType_Yaviza,Female,256,456
WildType_Yaviza,Female,231,474
WildType_Yaviza,Female,194,399
WildType_Yaviza,Female,236,477
WildType_Yaviza,Female,255,527
WildType_Yaviza,Female,238,484
WildType_Yaviza,Female,224,445
WildType_Yaviza,Female,205,420
WildType_Yaviza,Female,236,477
WildType_Yaviza,Female,239,485
WildType_Yaviza,Female,236,477
WildType_Yaviza,Female,231,486
WildType_Yaviza,Female,233,473
WildType_Yaviza,Female,232,476
WildType_Yaviza,Female,251,504
WildType_Yaviza,Female,242,499
WildType_Yaviza,Female,253,511
WildType_Yaviza,Female,235,477
WildType_Yaviza,Female,240,478
WildType_Yaviza,Female,233,444
WildType_Yaviza,Female,226,455
WildType_Yaviza,Female,234,473
WildType_Yaviza,Female,253,512
WildType_Yaviza,Female,233,471
WildType_Yaviza,Female,248,503
WildType_Yaviza,Female,214,423
